Validation_ratio : 0.05
Kerekített címkék:
                                         filename_id  ...  defocus_label
0  holodetect_heamato_2024-10-14_13-32-18.27__hlg...  ...            2.0
1  holodetect_heamato_2024-10-14_13-30-37.466__hl...  ...          -10.0
2  holodetect_heamato_2024-10-14_13-30-12.487__hl...  ...            7.0
3  holodetect_heamato_2024-10-14_13-30-52.625__hl...  ...            3.0
4  holodetect_heamato_2024-10-14_13-32-43.286__hl...  ...           -0.0

[5 rows x 3 columns]
data_array.shape : (1191, 2)
Torolt elemek szama a train-ben: 0  , Maradt : 1191
Torolt elemek szama a test-ben:  0   , Maradt : 130
train_image_tensors : torch.Size([1131, 3, 128, 128])
test_image_tensors : torch.Size([130, 3, 128, 128])
validate_image_tensors : torch.Size([60, 3, 128, 128])
Eredeti címke: [1.957815391 -9.985237259 7.492938751 ... -1.135871743 -4.206591786
 -8.879345336]
Átalakított címke: [722 0 1048 ... 547 366 62]
 scheduler = torch.optim.lr_scheduler.CosineAnnealingLR(optimizer, T_max=50)
 optimizer = optim.Adam(model.parameters(), lr=0.001)
 [0 - 40] - MobileNetV2Custom - B=8
Epoch [1/40], Train Loss: 7.8804, Val Accuracy: 0.1000
Epoch [2/40], Train Loss: 7.1712, Val Accuracy: 0.1167
Epoch [3/40], Train Loss: 7.1097, Val Accuracy: 0.0667
Epoch [4/40], Train Loss: 7.1225, Val Accuracy: 0.1000
Epoch [5/40], Train Loss: 7.0395, Val Accuracy: 0.0500
Epoch [6/40], Train Loss: 6.9794, Val Accuracy: 0.0667
Epoch [7/40], Train Loss: 6.8484, Val Accuracy: 0.0833
Epoch [8/40], Train Loss: 6.7584, Val Accuracy: 0.1667
Epoch [9/40], Train Loss: 6.7298, Val Accuracy: 0.1667
Epoch [10/40], Train Loss: 6.6816, Val Accuracy: 0.0667
Epoch [11/40], Train Loss: 6.6155, Val Accuracy: 0.1000
Epoch [12/40], Train Loss: 6.6444, Val Accuracy: 0.0667
Epoch [13/40], Train Loss: 6.6786, Val Accuracy: 0.0667
Epoch [14/40], Train Loss: 6.5408, Val Accuracy: 0.0500
Epoch [15/40], Train Loss: 6.5091, Val Accuracy: 0.1000
Epoch [16/40], Train Loss: 6.4721, Val Accuracy: 0.0667
Epoch [17/40], Train Loss: 6.4228, Val Accuracy: 0.1333
Epoch [18/40], Train Loss: 6.4114, Val Accuracy: 0.1500
Epoch [19/40], Train Loss: 6.3786, Val Accuracy: 0.1000
Epoch [20/40], Train Loss: 6.3320, Val Accuracy: 0.1000
Epoch [21/40], Train Loss: 6.2692, Val Accuracy: 0.0500
Epoch [22/40], Train Loss: 6.1533, Val Accuracy: 0.1000
Epoch [23/40], Train Loss: 6.1212, Val Accuracy: 0.0667
Epoch [24/40], Train Loss: 6.0793, Val Accuracy: 0.0833
Epoch [25/40], Train Loss: 5.9131, Val Accuracy: 0.1500
Epoch [26/40], Train Loss: 5.9005, Val Accuracy: 0.1667
Epoch [27/40], Train Loss: 5.8611, Val Accuracy: 0.0833
Epoch [28/40], Train Loss: 5.7447, Val Accuracy: 0.1333
Epoch [29/40], Train Loss: 5.6809, Val Accuracy: 0.1167
Epoch [30/40], Train Loss: 5.5197, Val Accuracy: 0.0667
Epoch [31/40], Train Loss: 5.4144, Val Accuracy: 0.0667
Epoch [32/40], Train Loss: 5.3707, Val Accuracy: 0.1167
Epoch [33/40], Train Loss: 5.2591, Val Accuracy: 0.1167
Epoch [34/40], Train Loss: 5.1893, Val Accuracy: 0.1000
Epoch [35/40], Train Loss: 5.1723, Val Accuracy: 0.0667
Epoch [36/40], Train Loss: 5.0150, Val Accuracy: 0.0500
Epoch [37/40], Train Loss: 5.0217, Val Accuracy: 0.1333
